# run,dgmsl(mm)
0,6991
1,4790
2,6974
3,7219
4,7100
5,6793
6,7139
7,6725
8,6994
9,7118
10,4950
11,5892
12,7262
13,5843
15,4387
16,7020
17,6548
18,6098
19,4587
20,7029
21,4935
22,5607
23,6890
24,7244
25,6601
26,6716
27,7140
28,5442
29,6187
31,6981
32,5529
33,6795
34,5972
35,6368
36,5462
37,5895
38,6468
39,6320
40,4881
41,6586
42,7233
43,5918
45,7048
47,7198
48,7186
49,6427
50,6755
51,6541
52,6084
53,5698
54,5795
55,7195
56,5779
57,4723
58,7238
59,6168
60,5220
61,7071
62,6558
63,5992
64,6476
65,6751
66,5018
67,7237
68,6875
70,5992
71,7206
72,7069
73,7028
75,6818
77,6216
78,5168
79,5524
80,6557
81,6047
82,7253
83,6346
84,6457
85,7201
86,5158
87,6875
88,5943
89,4839
90,6677
91,6940
92,7196
93,6697
94,7003
96,6388
97,5722
98,5840
99,7251
100,6839
101,7210
102,7209
103,6783
104,7259
105,6578
106,5487
107,6787
108,6693
109,6301
110,5633
111,5453
112,6863
113,6516
114,5319
115,5570
116,6325
117,6359
118,5491
119,6252
120,7016
121,7245
122,5885
123,6746
124,6144
125,6008
126,7219
127,5277
128,7231
129,5959
130,6591
131,5623
132,4807
133,6189
134,6468
135,5812
136,5040
137,7160
138,5744
139,7024
140,6522
141,5955
142,7237
143,6861
144,6675
145,6453
146,5896
147,6205
149,7096
150,6391
151,7237
152,5803
153,6181
154,6465
156,6921
157,6943
158,7230
159,7204
160,6673
161,6883
162,4865
163,7083
164,7199
166,6045
167,6723
168,5529
169,5166
170,5952
171,6883
172,6415
173,6031
175,6241
176,6444
177,6753
178,5975
179,6847
180,7036
181,7212
182,7227
183,5492
184,6508
185,6041
186,6513
187,4667
188,7253
189,7206
190,5712
191,5624
192,6680
193,5429
194,7235
195,6629
196,7250
197,6132
198,5944
199,6479
200,6613
201,6457
202,5400
203,6620
204,5911
205,7229
206,6737
207,5232
208,6648
209,6173
210,6419
211,6144
212,4489
213,7240
214,7246
215,7206
216,7257
217,6456
218,7188
219,5166
220,6917
221,6437
222,6959
223,7208
225,5599
226,6796
227,6035
229,6801
230,5167
231,7259
232,7032
233,7170
234,6593
235,5245
236,6163
237,5149
238,6324
239,7093
240,6430
241,6198
242,6058
243,4543
244,7134
245,6526
246,6597
247,4666
248,6817
249,6954
250,7236
251,6003
252,5503
253,6708
254,6725
255,4420
256,7265
257,6582
258,7060
259,7142
260,6965
261,6290
262,7184
263,5758
264,6938
265,7209
266,7051
267,4259
268,6747
269,7183
270,4770
271,7069
272,6788
273,6551
274,6285
275,7238
276,5878
277,6149
278,5141
279,5937
280,4964
281,7140
282,5786
283,6994
284,6606
285,5210
286,6811
287,7018
288,6760
289,5743
290,4927
291,6544
292,5670
293,7151
294,5429
295,5950
296,6823
297,7064
298,6682
299,7039
300,6178
301,5667
302,5897
303,6690
304,6595
305,6369
306,5750
307,6378
308,6386
309,6173
310,6926
311,7247
313,7203
314,7264
315,5139
316,7234
317,6383
318,5597
319,5157
320,6075
321,5740
322,6341
323,6358
324,5607
325,7249
326,7158
327,5309
329,5510
330,7072
331,7192
332,7131
333,5498
334,5351
335,6627
336,7148
337,7211
338,7061
340,4822
341,5447
342,6947
343,5511
344,7111
345,7109
346,7226
347,5477
348,6704
349,6031
350,6790
351,5832
352,6492
353,7161
354,6831
355,6048
358,7049
359,6996
360,7257
361,7155
363,6898
364,4307
365,6413
366,7113
368,7091
371,7195
372,7202
373,6376
374,6471
375,7006
376,7253
377,5361
378,5742
379,6210
380,6436
381,6935
382,7259
383,6345
384,6101
385,6210
386,6512
387,5059
388,7091
389,7194
390,5222
391,5776
392,6397
393,5895
394,7222
395,5302
397,5651
398,7102
399,7010
400,6878
401,5882
402,6647
403,5137
404,5541
405,5485
406,6264
407,5191
408,7250
409,6826
410,5523
411,6870
412,7258
413,5103
414,7140
415,5880
416,7206
417,7194
418,5011
419,5377
420,6733
421,5790
422,6985
423,7244
425,5081
426,7130
427,7113
428,6253
430,7003
431,6224
432,6064
433,6518
434,7115
435,6692
436,6101
437,5110
438,6645
439,6100
440,5936
441,6948
442,6150
444,6640
445,5515
446,4772
447,6925
448,5579
450,6489
451,7220
452,7233
453,7212
454,6048
455,6768
456,6115
457,6459
459,6825
460,6129
461,4650
462,6877
463,6701
464,5641
466,7132
467,7036
468,7215
469,5056
470,6412
471,6929
472,6307
473,6983
474,6863
475,6351
476,6843
477,6787
478,6960
479,6673
480,6251
481,4827
482,7241
483,5376
484,6645
485,7230
486,5742
487,6244
488,7201
489,6048
490,4683
491,6368
492,6542
493,5470
494,5436
495,7261
496,7243
497,7182
498,6083
499,6593
