id,SIAE,SSAN,PPQ,TEFO,PHIMIN,ZMIN,ZMAX
0,1.03515625,3.166015625,0.455078125,0.02169921875,28.046875,-324.21875,863.28125
1,1.73828125,3.166015625,0.455078125,0.02169921875,28.046875,-324.21875,863.28125
2,1.03515625,3.052734375,0.455078125,0.02169921875,28.046875,-324.21875,863.28125
3,1.03515625,3.166015625,0.8214843749999999,0.02169921875,28.046875,-324.21875,863.28125
4,1.03515625,3.166015625,0.455078125,0.04083984375,28.046875,-324.21875,863.28125
5,1.03515625,3.166015625,0.455078125,0.02169921875,24.765625,-324.21875,863.28125
6,1.03515625,3.166015625,0.455078125,0.02169921875,28.046875,-183.59375,863.28125
7,1.03515625,3.166015625,0.455078125,0.02169921875,28.046875,-324.21875,878.90625
8,1.73828125,3.052734375,0.8214843749999999,0.04083984375,24.765625,-183.59375,878.90625
9,2.53515625,3.416015625,0.805078125,0.03919921875,18.046875,-824.21875,363.28125
10,3.23828125,3.416015625,0.805078125,0.03919921875,18.046875,-824.21875,363.28125
11,2.53515625,3.302734375,0.805078125,0.03919921875,18.046875,-824.21875,363.28125
12,2.53515625,3.416015625,0.47148437499999996,0.03919921875,18.046875,-824.21875,363.28125
13,2.53515625,3.416015625,0.805078125,0.02333984375,18.046875,-824.21875,363.28125
14,2.53515625,3.416015625,0.805078125,0.03919921875,14.765625,-824.21875,363.28125
15,2.53515625,3.416015625,0.805078125,0.03919921875,18.046875,-683.59375,363.28125
16,2.53515625,3.416015625,0.805078125,0.03919921875,18.046875,-824.21875,378.90625
17,3.23828125,3.302734375,0.47148437499999996,0.02333984375,14.765625,-683.59375,378.90625
18,3.28515625,3.041015625,0.280078125,0.03044921875,13.046875,-574.21875,613.28125
19,3.98828125,3.041015625,0.280078125,0.03044921875,13.046875,-574.21875,613.28125
20,3.28515625,3.427734375,0.280078125,0.03044921875,13.046875,-574.21875,613.28125
21,3.28515625,3.041015625,0.296484375,0.03044921875,13.046875,-574.21875,613.28125
22,3.28515625,3.041015625,0.280078125,0.03208984375,13.046875,-574.21875,613.28125
23,3.28515625,3.041015625,0.280078125,0.03044921875,19.765625,-574.21875,613.28125
24,3.28515625,3.041015625,0.280078125,0.03044921875,13.046875,-433.59375,613.28125
25,3.28515625,3.041015625,0.280078125,0.03044921875,13.046875,-574.21875,628.90625
26,3.98828125,3.427734375,0.296484375,0.03208984375,19.765625,-433.59375,628.90625
27,1.78515625,3.291015625,0.630078125,0.04794921875,23.046875,-74.21875,113.28125
28,2.48828125,3.291015625,0.630078125,0.04794921875,23.046875,-74.21875,113.28125
29,1.78515625,3.177734375,0.630078125,0.04794921875,23.046875,-74.21875,113.28125
30,1.78515625,3.291015625,0.646484375,0.04794921875,23.046875,-74.21875,113.28125
31,1.78515625,3.291015625,0.630078125,0.04958984375,23.046875,-74.21875,113.28125
32,1.78515625,3.291015625,0.630078125,0.04794921875,29.765625,-74.21875,113.28125
33,1.78515625,3.291015625,0.630078125,0.04794921875,23.046875,-933.59375,113.28125
34,1.78515625,3.291015625,0.630078125,0.04794921875,23.046875,-74.21875,128.90625
35,2.48828125,3.177734375,0.646484375,0.04958984375,29.765625,-933.59375,128.90625
36,2.16015625,3.103515625,0.892578125,0.043574218750000004,20.546875,-449.21875,738.28125
37,3.61328125,3.103515625,0.892578125,0.043574218750000004,20.546875,-449.21875,738.28125
38,2.16015625,3.490234375,0.892578125,0.043574218750000004,20.546875,-449.21875,738.28125
39,2.16015625,3.103515625,0.558984375,0.043574218750000004,20.546875,-449.21875,738.28125
40,2.16015625,3.103515625,0.892578125,0.027714843750000002,20.546875,-449.21875,738.28125
41,2.16015625,3.103515625,0.892578125,0.043574218750000004,27.265625,-449.21875,738.28125
42,2.16015625,3.103515625,0.892578125,0.043574218750000004,20.546875,-308.59375,738.28125
43,2.16015625,3.103515625,0.892578125,0.043574218750000004,20.546875,-449.21875,253.90625
44,3.61328125,3.490234375,0.558984375,0.027714843750000002,27.265625,-308.59375,253.90625
45,3.66015625,3.353515625,0.5425781249999999,0.026074218750000003,10.546875,-949.21875,238.28125
46,2.11328125,3.353515625,0.5425781249999999,0.026074218750000003,10.546875,-949.21875,238.28125
47,3.66015625,3.240234375,0.5425781249999999,0.026074218750000003,10.546875,-949.21875,238.28125
48,3.66015625,3.353515625,0.908984375,0.026074218750000003,10.546875,-949.21875,238.28125
49,3.66015625,3.353515625,0.5425781249999999,0.04521484375,10.546875,-949.21875,238.28125
50,3.66015625,3.353515625,0.5425781249999999,0.026074218750000003,17.265625,-949.21875,238.28125
51,3.66015625,3.353515625,0.5425781249999999,0.026074218750000003,10.546875,-808.59375,238.28125
52,3.66015625,3.353515625,0.5425781249999999,0.026074218750000003,10.546875,-949.21875,753.90625
53,2.11328125,3.240234375,0.908984375,0.04521484375,17.265625,-808.59375,753.90625
54,2.91015625,3.228515625,0.717578125,0.03482421875,15.546875,-699.21875,988.28125
55,1.36328125,3.228515625,0.717578125,0.03482421875,15.546875,-699.21875,988.28125
56,2.91015625,3.115234375,0.717578125,0.03482421875,15.546875,-699.21875,988.28125
57,2.91015625,3.228515625,0.7339843749999999,0.03482421875,15.546875,-699.21875,988.28125
58,2.91015625,3.228515625,0.717578125,0.03646484375,15.546875,-699.21875,988.28125
59,2.91015625,3.228515625,0.717578125,0.03482421875,12.265625,-699.21875,988.28125
60,2.91015625,3.228515625,0.717578125,0.03482421875,15.546875,-58.59375,988.28125
61,2.91015625,3.228515625,0.717578125,0.03482421875,15.546875,-699.21875,3.90625
62,1.36328125,3.115234375,0.7339843749999999,0.03646484375,12.265625,-58.59375,3.90625
63,1.41015625,3.478515625,0.367578125,0.01732421875,25.546875,-199.21875,488.28125
64,2.86328125,3.478515625,0.367578125,0.01732421875,25.546875,-199.21875,488.28125
65,1.41015625,3.365234375,0.367578125,0.01732421875,25.546875,-199.21875,488.28125
66,1.41015625,3.478515625,0.383984375,0.01732421875,25.546875,-199.21875,488.28125
